Word 1,Word 2,Word 3,Word 4,Category
boy,girl,brother,sister,Gender (Nuclear Family)
boy,girl,dad,mom,Gender (Nuclear Family)
boy,girl,father,mother,Gender (Nuclear Family)
boy,girl,grandfather,grandmother,Gender (Extended Family)
boy,girl,grandpa,grandma,Gender (Extended Family)
boy,girl,grandson,granddaughter,Gender (Extended Family)
boy,girl,husband,wife,Gender (Nuclear Family)
boy,girl,man,woman,Gender (Core)
boy,girl,nephew,niece,Gender (Extended Family)
boy,girl,son,daughter,Gender (Nuclear Family)
boy,girl,stepbrother,stepsister,Gender (Step-family)
boy,girl,stepfather,stepmother,Gender (Step-family)
boy,girl,stepson,stepdaughter,Gender (Step-family)
boy,girl,uncle,aunt,Gender (Extended Family)
boy,girl,groom,bride,Gender (Titles & Roles)
brother,sister,dad,mom,Gender (Nuclear Family)
brother,sister,father,mother,Gender (Nuclear Family)
brother,sister,grandfather,grandmother,Gender (Extended Family)
brother,sister,grandpa,grandma,Gender (Extended Family)
brother,sister,grandson,granddaughter,Gender (Extended Family)
brother,sister,husband,wife,Gender (Nuclear Family)
brother,sister,man,woman,Gender (Core)
brother,sister,nephew,niece,Gender (Extended Family)
brother,sister,son,daughter,Gender (Nuclear Family)
brother,sister,stepbrother,stepsister,Gender (Step-family)
brother,sister,stepfather,stepmother,Gender (Step-family)
brother,sister,stepson,stepdaughter,Gender (Step-family)
brother,sister,uncle,aunt,Gender (Extended Family)
brother,sister,groom,bride,Gender (Titles & Roles)
brother,sister,king,queen,Gender (Titles & Roles)
dad,mom,father,mother,Gender (Nuclear Family)
dad,mom,grandfather,grandmother,Gender (Extended Family)
dad,mom,grandpa,grandma,Gender (Extended Family)
dad,mom,grandson,granddaughter,Gender (Extended Family)
dad,mom,husband,wife,Gender (Nuclear Family)
dad,mom,man,woman,Gender (Core)
dad,mom,nephew,niece,Gender (Extended Family)
dad,mom,son,daughter,Gender (Nuclear Family)
dad,mom,stepbrother,stepsister,Gender (Step-family)
dad,mom,stepfather,stepmother,Gender (Step-family)
dad,mom,stepson,stepdaughter,Gender (Step-family)
dad,mom,uncle,aunt,Gender (Extended Family)
dad,mom,groom,bride,Gender (Titles & Roles)
dad,mom,king,queen,Gender (Titles & Roles)
dad,mom,policeman,policewoman,Gender (Titles & Roles)
father,mother,grandfather,grandmother,Gender (Extended Family)
father,mother,grandpa,grandma,Gender (Extended Family)
father,mother,grandson,granddaughter,Gender (Extended Family)
father,mother,husband,wife,Gender (Nuclear Family)
father,mother,man,woman,Gender (Core)
father,mother,nephew,niece,Gender (Extended Family)
father,mother,son,daughter,Gender (Nuclear Family)
father,mother,stepbrother,stepsister,Gender (Step-family)
father,mother,stepfather,stepmother,Gender (Step-family)
father,mother,stepson,stepdaughter,Gender (Step-family)
father,mother,uncle,aunt,Gender (Extended Family)
father,mother,groom,bride,Gender (Titles & Roles)
father,mother,king,queen,Gender (Titles & Roles)
father,mother,policeman,policewoman,Gender (Titles & Roles)
father,mother,prince,princess,Gender (Titles & Roles)
grandfather,grandmother,grandpa,grandma,Gender (Extended Family)
grandfather,grandmother,grandson,granddaughter,Gender (Extended Family)
grandfather,grandmother,husband,wife,Gender (Nuclear Family)
grandfather,grandmother,man,woman,Gender (Core)
grandfather,grandmother,nephew,niece,Gender (Extended Family)
grandfather,grandmother,son,daughter,Gender (Nuclear Family)
grandfather,grandmother,stepbrother,stepsister,Gender (Step-family)
grandfather,grandmother,stepfather,stepmother,Gender (Step-family)
grandfather,grandmother,stepson,stepdaughter,Gender (Step-family)
grandfather,grandmother,uncle,aunt,Gender (Extended Family)
grandfather,grandmother,groom,bride,Gender (Titles & Roles)
grandfather,grandmother,king,queen,Gender (Titles & Roles)
grandfather,grandmother,policeman,policewoman,Gender (Titles & Roles)
grandfather,grandmother,prince,princess,Gender (Titles & Roles)
grandfather,grandmother,boy,girl,Gender (Core)
grandpa,grandma,grandson,granddaughter,Gender (Extended Family)
grandpa,grandma,husband,wife,Gender (Nuclear Family)
grandpa,grandma,man,woman,Gender (Core)
grandpa,grandma,nephew,niece,Gender (Extended Family)
grandpa,grandma,son,daughter,Gender (Nuclear Family)
grandpa,grandma,stepbrother,stepsister,Gender (Step-family)
grandpa,grandma,stepfather,stepmother,Gender (Step-family)
grandpa,grandma,stepson,stepdaughter,Gender (Step-family)
grandpa,grandma,uncle,aunt,Gender (Extended Family)
grandpa,grandma,groom,bride,Gender (Titles & Roles)
grandpa,grandma,king,queen,Gender (Titles & Roles)
grandpa,grandma,policeman,policewoman,Gender (Titles & Roles)
grandpa,grandma,prince,princess,Gender (Titles & Roles)
grandpa,grandma,boy,girl,Gender (Core)
grandpa,grandma,brother,sister,Gender (Nuclear Family)
grandson,granddaughter,husband,wife,Gender (Nuclear Family)
grandson,granddaughter,man,woman,Gender (Core)
grandson,granddaughter,nephew,niece,Gender (Extended Family)
grandson,granddaughter,son,daughter,Gender (Nuclear Family)
grandson,granddaughter,stepbrother,stepsister,Gender (Step-family)
grandson,granddaughter,stepfather,stepmother,Gender (Step-family)
grandson,granddaughter,stepson,stepdaughter,Gender (Step-family)
grandson,granddaughter,uncle,aunt,Gender (Extended Family)
grandson,granddaughter,groom,bride,Gender (Titles & Roles)
grandson,granddaughter,king,queen,Gender (Titles & Roles)
grandson,granddaughter,policeman,policewoman,Gender (Titles & Roles)
grandson,granddaughter,prince,princess,Gender (Titles & Roles)
grandson,granddaughter,boy,girl,Gender (Core)
grandson,granddaughter,brother,sister,Gender (Nuclear Family)
grandson,granddaughter,dad,mom,Gender (Nuclear Family)
husband,wife,man,woman,Gender (Core)
husband,wife,nephew,niece,Gender (Extended Family)
husband,wife,son,daughter,Gender (Nuclear Family)
husband,wife,stepbrother,stepsister,Gender (Step-family)
husband,wife,stepfather,stepmother,Gender (Step-family)
husband,wife,stepson,stepdaughter,Gender (Step-family)
husband,wife,uncle,aunt,Gender (Extended Family)
husband,wife,king,queen,Gender (Titles & Roles)
husband,wife,policeman,policewoman,Gender (Titles & Roles)
husband,wife,prince,princess,Gender (Titles & Roles)
man,woman,nephew,niece,Gender (Extended Family)
man,woman,son,daughter,Gender (Nuclear Family)
man,woman,stepbrother,stepsister,Gender (Step-family)
man,woman,stepfather,stepmother,Gender (Step-family)
man,woman,stepson,stepdaughter,Gender (Step-family)
man,woman,uncle,aunt,Gender (Extended Family)
man,woman,policeman,policewoman,Gender (Titles & Roles)
man,woman,prince,princess,Gender (Titles & Roles)
man,woman,boy,girl,Gender (Core)
man,woman,brother,sister,Gender (Nuclear Family)
stepbrother,stepsister,stepfather,stepmother,Gender (Step-family)
stepbrother,stepsister,stepson,stepdaughter,Gender (Step-family)
stepfather,stepmother,stepson,stepdaughter,Gender (Step-family)
stepson,stepdaughter,uncle,aunt,Gender (Step-family)
stepbrother,stepsister,uncle,aunt,Gender (Step-family)
king,queen,man,woman,Gender (Titles & Roles)
king,queen,policeman,policewoman,Gender (Titles & Roles)
king,queen,prince,princess,Gender (Titles & Roles)
king,queen,son,daughter,Gender (Titles & Roles)
policeman,policewoman,prince,princess,Gender (Titles & Roles)
policeman,policewoman,son,daughter,Gender (Titles & Roles)
prince,princess,son,daughter,Gender (Titles & Roles)
groom,bride,husband,wife,Gender (Titles & Roles)
groom,bride,king,queen,Gender (Titles & Roles)
groom,bride,man,woman,Gender (Titles & Roles)
he,she,his,her,Gender (Pronouns)
he,she,husband,wife,Gender (Pronouns)
he,she,king,queen,Gender (Pronouns)
he,she,man,woman,Gender (Pronouns)
he,she,nephew,niece,Gender (Pronouns)
